County,County Code,Deaths,Population,Crude Rate/100k
"Navarro County, TX",48349,34,50694,67.1
"Highland County, OH",39071,29,43304,67
"Chisago County, MN",27025,38,56794,66.9
"Lowndes County, MS",28087,39,58309,66.9
"Lea County, NM",35025,48,71830,66.8
"Wayne County, GA",13305,20,30023,66.6
"Darke County, OH",39037,34,51205,66.4
"Gordon County, GA",13129,39,58780,66.3
"Marion County, IA",19125,22,33168,66.3
"Morrison County, MN",27097,22,33187,66.3
"Baxter County, AR",5005,28,42242,66.3
"Summit County, OH",39153,357,538866,66.3
"Carter County, OK",40019,32,48353,66.2
"Sheboygan County, WI",55117,76,115240,65.9
"Floyd County, GA",13115,65,98604,65.9
"Beaufort County, NC",37013,31,47073,65.9
"El Dorado County, CA",6017,127,192925,65.8
"Clark County, KY",21049,24,36463,65.8
"Wapello County, IA",19179,23,34985,65.7
"Howard County, TX",48227,24,36540,65.7
"Anderson County, SC",45007,134,204353,65.6
"Houghton County, MI",26061,23,35126,65.5
"Mercer County, PA",42085,71,108545,65.4
"Clallam County, WA",53009,51,78067,65.3
"Pontotoc County, OK",40123,25,38397,65.1
"Campbell County, VA",51031,36,55304,65.1
"Livingston County, IL",17105,23,35414,64.9
"Jackson County, OR",41029,144,221844,64.9
"Sullivan County, TN",47163,103,158755,64.9
"Vernon County, WI",55123,20,30861,64.8
"Siskiyou County, CA",6093,28,43245,64.7
"Polk County, MN",27119,20,30900,64.7
"Wilkes County, NC",37193,44,68043,64.7
"Shelby County, IN",18145,29,44871,64.6
"Elmore County, AL",1051,53,82158,64.5
"Granville County, NC",37077,39,60486,64.5
"Jefferson County, IL",17081,24,37235,64.5
"Burnet County, TX",48053,32,49653,64.4
"East Baton Rouge Parish, LA",22033,283,439729,64.4
"Cass County, IN",18017,24,37388,64.2
"Shelby County, OH",39149,31,48337,64.1
"Gloucester County, VA",51073,24,37459,64.1
"Madison County, TN",47113,63,98360,64.1
"Wood County, WV",54107,53,82938,63.9
"Wayne County, IN",18177,42,65778,63.9
"Faulkner County, AR",5045,81,126919,63.8
"Transylvania County, NC",37175,22,34498,63.8
"Natchitoches Parish, LA",22069,24,37655,63.7
"Tehama County, CA",6103,41,64494,63.6
"Crawford County, PA",42039,53,83697,63.3
"Lucas County, OH",39095,271,428294,63.3
"Stanly County, NC",37167,40,63239,63.3
"Davidson County, NC",37057,107,169234,63.2
"McLennan County, TX",48309,164,259730,63.1
"Laurens County, GA",13175,30,47512,63.1
"Madison County, AL",1089,239,379453,63
"Emmet County, MI",26047,21,33342,63
"Ouachita Parish, LA",22073,96,152439,63
"Randall County, TX",48381,88,139899,62.9
"Williams County, OH",39171,23,36565,62.9
"Marshall County, IN",18099,29,46108,62.9
"Union County, AR",5139,24,38219,62.8
"Walker County, GA",13295,44,70116,62.8
"McMinn County, TN",47107,34,54208,62.7
"Matagorda County, TX",48321,23,36725,62.6
"St. Joseph County, IN",18141,170,271484,62.6
"Thurston County, WA",53067,184,294074,62.6
"Gilmer County, GA",13123,20,31978,62.5
"Clinton County, IA",19045,29,46392,62.5
"Warren County, OH",39165,149,238412,62.5
"Aiken County, SC",45003,108,172895,62.5
"Warren County, MS",28149,28,44841,62.4
"Columbia County, GA",13073,100,160377,62.4
"Armstrong County, PA",42005,40,64162,62.3
"St. Louis County, MO",29189,619,994020,62.3
"Mower County, MN",27099,25,40150,62.3
