County,County Code,Deaths,Population,Crude Rate/100k
"San Benito County, CA",6069,14,64055,Unreliable
"Delta County, CO",8029,16,31067,Unreliable
"Garfield County, CO",8045,16,60366,Unreliable
"Huerfano County, CO",8055,11,6883,Unreliable
"Logan County, CO",8075,11,21974,Unreliable
"Montrose County, CO",8085,16,43322,Unreliable
"Morgan County, CO",8087,16,28941,Unreliable
"Tolland County, CT",9013,14,150600,Unreliable
"Calhoun County, FL",12013,11,14078,Unreliable
"Columbia County, FL",12023,12,72654,Unreliable
"Gadsden County, FL",12039,10,45277,Unreliable
"Hendry County, FL",12051,11,42813,Unreliable
"Holmes County, FL",12059,14,19594,Unreliable
"Levy County, FL",12075,13,42214,Unreliable
"Monroe County, FL",12087,14,73900,Unreliable
"Nassau County, FL",12089,16,91113,Unreliable
"Putnam County, FL",12107,18,74815,Unreliable
"Wakulla County, FL",12129,13,34319,Unreliable
"Washington County, FL",12133,12,25932,Unreliable
"Appling County, GA",13001,15,18325,Unreliable
"Baldwin County, GA",13009,17,45099,Unreliable
"Banks County, GA",13011,12,19352,Unreliable
"Ben Hill County, GA",13017,13,16614,Unreliable
"Berrien County, GA",13019,13,19408,Unreliable
"Burke County, GA",13033,18,22648,Unreliable
"Candler County, GA",13043,10,10985,Unreliable
"Cook County, GA",13075,18,17291,Unreliable
"Dawson County, GA",13085,15,27113,Unreliable
"Decatur County, GA",13087,11,26457,Unreliable
"Dodge County, GA",13091,11,20452,Unreliable
"Elbert County, GA",13105,14,19335,Unreliable
"Grady County, GA",13131,10,24491,Unreliable
"Greene County, GA",13133,10,18837,Unreliable
"Haralson County, GA",13143,15,30383,Unreliable
"Harris County, GA",13145,17,36080,Unreliable
"Hart County, GA",13147,18,26406,Unreliable
"Jeff Davis County, GA",13161,11,15213,Unreliable
"Jefferson County, GA",13163,19,15267,Unreliable
"Lamar County, GA",13171,10,19261,Unreliable
"Liberty County, GA",13179,12,63004,Unreliable
"Lumpkin County, GA",13187,14,34186,Unreliable
"McDuffie County, GA",13189,18,21162,Unreliable
"Madison County, GA",13195,11,30457,Unreliable
"Mitchell County, GA",13205,18,21602,Unreliable
"Morgan County, GA",13211,13,19636,Unreliable
"Murray County, GA",13213,13,40032,Unreliable
"Peach County, GA",13225,16,27950,Unreliable
"Putnam County, GA",13237,11,22520,Unreliable
"Rabun County, GA",13241,12,17273,Unreliable
"Sumter County, GA",13261,11,29282,Unreliable
"Tattnall County, GA",13267,13,25365,Unreliable
"Telfair County, GA",13271,15,15781,Unreliable
"Towns County, GA",13281,15,12247,Unreliable
"Turner County, GA",13287,13,7882,Unreliable
"Upson County, GA",13293,19,26527,Unreliable
"Washington County, GA",13303,15,20150,Unreliable
"White County, GA",13311,17,31094,Unreliable
"Kauai County, HI",15007,14,71851,Unreliable
"Bingham County, ID",16011,18,47202,Unreliable
"Bonner County, ID",16017,15,46817,Unreliable
"Cassia County, ID",16031,14,24277,Unreliable
"Elmore County, ID",16039,15,27448,Unreliable
"Gem County, ID",16045,11,18703,Unreliable
"Gooding County, ID",16047,10,15618,Unreliable
"Jerome County, ID",16053,11,24578,Unreliable
"Madison County, ID",16065,14,40318,Unreliable
"Payette County, ID",16075,15,24771,Unreliable
"Bureau County, IL",17011,15,32303,Unreliable
"Clinton County, IL",17027,14,37398,Unreliable
"De Witt County, IL",17039,18,15368,Unreliable
"Douglas County, IL",17041,13,19510,Unreliable
"Ford County, IL",17053,10,12949,Unreliable
"Greene County, IL",17061,11,12702,Unreliable
"Grundy County, IL",17063,17,50993,Unreliable
"Jackson County, IL",17077,16,56675,Unreliable
"Jo Daviess County, IL",17085,14,21239,Unreliable
"Lawrence County, IL",17101,13,15467,Unreliable
"Lee County, IL",17103,11,33647,Unreliable
"McDonough County, IL",17109,12,29295,Unreliable
"Mason County, IL",17125,10,13173,Unreliable
"Massac County, IL",17127,19,13636,Unreliable
"Mercer County, IL",17131,10,15225,Unreliable
"Monroe County, IL",17133,10,34739,Unreliable
"Montgomery County, IL",17135,19,28045,Unreliable
"Perry County, IL",17145,15,20664,Unreliable
"Randolph County, IL",17157,12,31351,Unreliable
"Saline County, IL",17165,12,23182,Unreliable
"Union County, IL",17181,10,16498,Unreliable
"Williamson County, IL",17199,17,66415,Unreliable
"Adams County, IN",18001,12,35839,Unreliable
"Clay County, IN",18021,13,26246,Unreliable
"Clinton County, IN",18023,12,32206,Unreliable
"Daviess County, IN",18027,15,33505,Unreliable
"Dearborn County, IN",18029,17,49824,Unreliable
"De Kalb County, IN",18033,17,43670,Unreliable
"Greene County, IN",18055,11,32203,Unreliable
"Huntington County, IN",18069,17,36395,Unreliable
"Jay County, IN",18075,10,20416,Unreliable
"Jefferson County, IN",18077,14,32110,Unreliable
"Lagrange County, IN",18087,10,40119,Unreliable
"Lawrence County, IN",18093,13,45496,Unreliable
"Miami County, IN",18103,12,35328,Unreliable
"Montgomery County, IN",18107,13,38365,Unreliable
"Perry County, IN",18123,11,19154,Unreliable
"Posey County, IN",18129,14,25275,Unreliable
"Randolph County, IN",18135,14,24191,Unreliable
"Ripley County, IN",18137,10,28448,Unreliable
"Scott County, IN",18143,10,23788,Unreliable
"Starke County, IN",18149,14,23049,Unreliable
"Steuben County, IN",18151,19,34831,Unreliable
"Wabash County, IN",18169,16,30784,Unreliable
"Washington County, IN",18175,12,28213,Unreliable
"Wells County, IN",18179,12,28142,Unreliable
"Benton County, IA",19011,18,25414,Unreliable
"Bremer County, IA",19017,11,25311,Unreliable
"Buena Vista County, IA",19021,10,19772,Unreliable
"Carroll County, IA",19027,12,19914,Unreliable
"Cass County, IA",19029,15,12817,Unreliable
"Clarke County, IA",19039,10,9353,Unreliable
"Clayton County, IA",19043,18,17321,Unreliable
"Delaware County, IA",19055,14,16937,Unreliable
"Fayette County, IA",19065,17,19258,Unreliable
"Guthrie County, IA",19077,12,10737,Unreliable
"Hamilton County, IA",19079,10,14716,Unreliable
"Humboldt County, IA",19091,10,9473,Unreliable
"Iowa County, IA",19095,13,16138,Unreliable
"Jefferson County, IA",19101,16,18347,Unreliable
"Johnson County, IA",19103,18,153740,Unreliable
"Jones County, IA",19105,14,20617,Unreliable
"Lee County, IA",19111,16,33480,Unreliable
"Madison County, IA",19121,14,16521,Unreliable
"Marshall County, IA",19127,10,39495,Unreliable
"Muscatine County, IA",19139,16,42394,Unreliable
"Plymouth County, IA",19149,16,25219,Unreliable
"Poweshiek County, IA",19157,12,18381,Unreliable
"Ringgold County, IA",19159,13,4801,Unreliable
"Shelby County, IA",19165,10,11430,Unreliable
"Sioux County, IA",19167,18,35043,Unreliable
"Tama County, IA",19171,14,16801,Unreliable
"Washington County, IA",19183,13,21992,Unreliable
"Webster County, IA",19187,18,35934,Unreliable
"Barton County, KS",20009,15,25658,Unreliable
"Bourbon County, KS",20011,10,14435,Unreliable
"Butler County, KS",20015,14,66992,Unreliable
"Cherokee County, KS",20021,17,19681,Unreliable
"Crawford County, KS",20037,11,38730,Unreliable
"Finney County, KS",20055,16,35917,Unreliable
"Franklin County, KS",20059,10,25703,Unreliable
"Harvey County, KS",20079,18,34291,Unreliable
"Miami County, KS",20121,11,34334,Unreliable
"Montgomery County, KS",20125,10,31502,Unreliable
"Nemaha County, KS",20131,10,10121,Unreliable
"Rice County, KS",20159,12,9362,Unreliable
"Riley County, KS",20161,19,73202,Unreliable
"Bath County, KY",21011,10,12481,Unreliable
"Bell County, KY",21013,12,25482,Unreliable
"Boyle County, KY",21021,17,30367,Unreliable
"Bullitt County, KY",21029,10,82182,Unreliable
"Calloway County, KY",21035,10,39300,Unreliable
"Christian County, KY",21047,13,71478,Unreliable
"Floyd County, KY",21071,18,34974,Unreliable
"Hardin County, KY",21093,17,111309,Unreliable
"Harlan County, KY",21095,12,25566,Unreliable
"Jessamine County, KY",21113,17,54057,Unreliable
"Johnson County, KY",21115,14,22002,Unreliable
"Knox County, KY",21121,16,31022,Unreliable
"Lewis County, KY",21135,10,13262,Unreliable
"Livingston County, KY",21139,10,9041,Unreliable
"Mason County, KY",21161,10,17035,Unreliable
"Mercer County, KY",21167,16,21889,Unreliable
"Metcalfe County, KY",21169,12,10058,Unreliable
"Montgomery County, KY",21173,10,28186,Unreliable
"Morgan County, KY",21175,11,13142,Unreliable
"Nelson County, KY",21179,16,46450,Unreliable
"Ohio County, KY",21183,10,23899,Unreliable
"Oldham County, KY",21185,14,66999,Unreliable
"Perry County, KY",21193,12,25456,Unreliable
"Pulaski County, KY",21199,17,65530,Unreliable
"Rowan County, KY",21205,12,24682,Unreliable
"Shelby County, KY",21211,15,49611,Unreliable
"Taylor County, KY",21217,14,25707,Unreliable
"Whitley County, KY",21235,11,36451,Unreliable
"Allen Parish, LA",22003,10,25440,Unreliable
"Beauregard Parish, LA",22011,13,37881,Unreliable
"Claiborne Parish, LA",22027,17,15508,Unreliable
"De Soto Parish, LA",22031,15,27650,Unreliable
"Evangeline Parish, LA",22039,18,33276,Unreliable
"Grant Parish, LA",22043,14,22254,Unreliable
"LaSalle Parish, LA",22059,17,15021,Unreliable
"Pointe Coupee Parish, LA",22077,18,21529,Unreliable
"Sabine Parish, LA",22085,14,23803,Unreliable
"St. John the Baptist Parish, LA",22095,14,42516,Unreliable
"Union Parish, LA",22111,16,22170,Unreliable
"Vernon Parish, LA",22115,11,47894,Unreliable
"West Baton Rouge Parish, LA",22121,11,26792,Unreliable
"Winn Parish, LA",22127,12,13839,Unreliable
"Aroostook County, ME",23003,16,66804,Unreliable
"Hancock County, ME",23009,15,55088,Unreliable
"Oxford County, ME",23017,10,58132,Unreliable
"Sagadahoc County, ME",23023,18,36044,Unreliable
"Somerset County, ME",23025,14,50635,Unreliable
"Waldo County, ME",23027,19,39923,Unreliable
"Allegany County, MD",24001,16,70057,Unreliable
"Charles County, MD",24017,16,164436,Unreliable
"Dorchester County, MD",24019,11,31853,Unreliable
"Kent County, MD",24029,16,19192,Unreliable
"St. Mary's County, MD",24037,13,114687,Unreliable
"Worcester County, MD",24047,14,52403,Unreliable
"Franklin County, MA",25011,14,70267,Unreliable
"Hampshire County, MA",25015,11,161401,Unreliable
"Antrim County, MI",26009,13,23449,Unreliable
"Arenac County, MI",26011,10,14953,Unreliable
"Cheboygan County, MI",26031,10,25365,Unreliable
"Crawford County, MI",26039,11,13981,Unreliable
"Dickinson County, MI",26043,15,25112,Unreliable
"Gladwin County, MI",26051,15,25424,Unreliable
"Gogebic County, MI",26053,10,13842,Unreliable
"Iron County, MI",26071,12,11066,Unreliable
"Isabella County, MI",26073,15,69504,Unreliable
"Menominee County, MI",26109,10,22608,Unreliable
"Oceana County, MI",26127,14,26819,Unreliable
"Ogemaw County, MI",26129,16,20923,Unreliable
"Osceola County, MI",26133,13,23466,Unreliable
"Otsego County, MI",26137,12,24765,Unreliable
"Roscommon County, MI",26143,18,23986,Unreliable
"Schoolcraft County, MI",26153,12,8104,Unreliable
"Wexford County, MI",26165,17,33743,Unreliable
"Becker County, MN",27005,15,34456,Unreliable
"Brown County, MN",27015,12,24846,Unreliable
"Carlton County, MN",27017,17,35769,Unreliable
"Carver County, MN",27019,17,106565,Unreliable
"Cass County, MN",27021,13,29928,Unreliable
"Hubbard County, MN",27057,17,21783,Unreliable
"Isanti County, MN",27059,14,41429,Unreliable
"Kandiyohi County, MN",27067,19,43130,Unreliable
"Lake County, MN",27075,15,10639,Unreliable
"Le Sueur County, MN",27079,11,28741,Unreliable
"Martin County, MN",27091,17,19484,Unreliable
"Meeker County, MN",27093,15,23341,Unreliable
"Pine County, MN",27115,16,29359,Unreliable
"Renville County, MN",27129,13,14403,Unreliable
"Steele County, MN",27147,15,36596,Unreliable
"Todd County, MN",27153,13,24732,Unreliable
"Wadena County, MN",27159,17,13807,Unreliable
"Winona County, MN",27169,19,50485,Unreliable
"Adams County, MS",28001,15,30275,Unreliable
"Chickasaw County, MS",28017,16,16951,Unreliable
"Choctaw County, MS",28019,12,8063,Unreliable
"Clarke County, MS",28023,13,15299,Unreliable
"Copiah County, MS",28029,17,27933,Unreliable
"George County, MS",28039,14,24425,Unreliable
"Greene County, MS",28041,10,13477,Unreliable
"Hancock County, MS",28045,18,48000,Unreliable
"Jasper County, MS",28061,14,16332,Unreliable
"Kemper County, MS",28069,11,9521,Unreliable
"Lincoln County, MS",28085,14,33936,Unreliable
"Marion County, MS",28091,17,24441,Unreliable
"Newton County, MS",28101,18,20866,Unreliable
"Noxubee County, MS",28103,10,10236,Unreliable
"Panola County, MS",28107,16,33848,Unreliable
"Perry County, MS",28111,17,11862,Unreliable
"Simpson County, MS",28127,13,26629,Unreliable
"Smith County, MS",28129,16,15779,Unreliable
"Stone County, MS",28131,18,18360,Unreliable
"Sunflower County, MS",28133,12,24740,Unreliable
"Tate County, MS",28137,19,28539,Unreliable
"Tippah County, MS",28139,14,21748,Unreliable
"Walthall County, MS",28147,16,14294,Unreliable
"Washington County, MS",28151,14,42837,Unreliable
"Wayne County, MS",28153,11,20317,Unreliable
"Webster County, MS",28155,12,9676,Unreliable
"Winston County, MS",28159,16,17845,Unreliable
"Yalobusha County, MS",28161,17,11982,Unreliable
"Adair County, MO",29001,19,25399,Unreliable
"Audrain County, MO",29007,11,24835,Unreliable
"Barry County, MO",29009,19,35818,Unreliable
"Benton County, MO",29015,11,19627,Unreliable
"Callaway County, MO",29027,11,44887,Unreliable
"Camden County, MO",29029,17,46414,Unreliable
"Clinton County, MO",29049,12,20553,Unreliable
"Cole County, MO",29051,13,76191,Unreliable
"Dallas County, MO",29059,16,17219,Unreliable
"DeKalb County, MO",29063,10,10944,Unreliable
"Henry County, MO",29083,13,22076,Unreliable
"Howell County, MO",29091,12,40262,Unreliable
"Lafayette County, MO",29107,13,33006,Unreliable
"Macon County, MO",29121,10,15095,Unreliable
"Marion County, MO",29127,13,28423,Unreliable
"Mississippi County, MO",29133,12,12691,Unreliable
"New Madrid County, MO",29143,16,16693,Unreliable
"Nodaway County, MO",29147,14,21743,Unreliable
"Phelps County, MO",29161,17,44414,Unreliable
"Polk County, MO",29167,14,32490,Unreliable
"Ray County, MO",29177,16,22915,Unreliable
"Stoddard County, MO",29207,18,29001,Unreliable
"Stone County, MO",29209,17,32465,Unreliable
"Taney County, MO",29213,17,56104,Unreliable
"Washington County, MO",29221,14,24604,Unreliable
"Wayne County, MO",29223,10,12769,Unreliable
"Webster County, MO",29225,13,39859,Unreliable
"Park County, MT",30067,10,16760,Unreliable
"Ravalli County, MT",30081,19,45002,Unreliable
"Silver Bow County, MT",30093,17,35180,Unreliable
"Adams County, NE",31001,12,31321,Unreliable
"Buffalo County, NE",31019,17,50114,Unreliable
"Cass County, NE",31025,14,26232,Unreliable
"Dodge County, NE",31053,17,36222,Unreliable
"Gage County, NE",31067,17,21431,Unreliable
"Holt County, NE",31089,12,9956,Unreliable
"Lincoln County, NE",31111,12,34347,Unreliable
"Madison County, NE",31119,19,34813,Unreliable
"Otoe County, NE",31131,10,15965,Unreliable
"Platte County, NE",31141,14,33364,Unreliable
"Saunders County, NE",31155,11,21927,Unreliable
"Scotts Bluff County, NE",31157,17,35299,Unreliable
"Douglas County, NV",32005,11,49088,Unreliable
"Elko County, NV",32007,16,53006,Unreliable
"Carson City, NV",32510,19,56034,Unreliable
"Hunterdon County, NJ",34019,14,124797,Unreliable
"Chaves County, NM",35005,10,64711,Unreliable
"Curry County, NM",35009,19,48793,Unreliable
"Grant County, NM",35017,13,27007,Unreliable
"Luna County, NM",35029,13,23905,Unreliable
"Otero County, NM",35035,14,67967,Unreliable
"Quay County, NM",35037,10,8197,Unreliable
"Rio Arriba County, NM",35039,10,38521,Unreliable
"Roosevelt County, NM",35041,15,18350,Unreliable
"Taos County, NM",35055,13,32593,Unreliable
"Valencia County, NM",35061,15,77574,Unreliable
"Allegany County, NY",36003,16,45587,Unreliable
"Chenango County, NY",36017,13,46730,Unreliable
"Clinton County, NY",36019,10,79778,Unreliable
"Columbia County, NY",36021,14,59534,Unreliable
"Fulton County, NY",36035,15,52812,Unreliable
"Herkimer County, NY",36043,19,60945,Unreliable
"Montgomery County, NY",36057,10,49170,Unreliable
"Oswego County, NY",36075,13,116346,Unreliable
"Putnam County, NY",36079,12,98532,Unreliable
"Seneca County, NY",36099,15,33991,Unreliable
"Tompkins County, NY",36109,16,101058,Unreliable
"Wayne County, NY",36117,17,89339,Unreliable
"Anson County, NC",37007,15,24097,Unreliable
"Ashe County, NC",37009,14,27166,Unreliable
"Bertie County, NC",37015,12,18712,Unreliable
"Caswell County, NC",37033,15,22443,Unreliable
"Dare County, NC",37055,12,37547,Unreliable
"Davie County, NC",37059,15,43286,Unreliable
"Gates County, NC",37073,10,11464,Unreliable
"Greene County, NC",37079,10,20928,Unreliable
"Hoke County, NC",37093,17,55830,Unreliable
"Jackson County, NC",37099,18,44033,Unreliable
"McDowell County, NC",37111,17,45782,Unreliable
"Madison County, NC",37115,13,21740,Unreliable
"Mitchell County, NC",37121,13,14881,Unreliable
"Northampton County, NC",37131,19,19088,Unreliable
"Pasquotank County, NC",37139,17,40372,Unreliable
"Person County, NC",37145,17,39925,Unreliable
"Polk County, NC",37149,13,21030,Unreliable
"Warren County, NC",37185,10,19522,Unreliable
"Yancey County, NC",37199,13,18099,Unreliable
"Barnes County, ND",38003,11,10402,Unreliable
"Griggs County, ND",38039,10,2207,Unreliable
"Morton County, ND",38059,15,31503,Unreliable
"Williams County, ND",38105,11,38700,Unreliable
"Carroll County, OH",39019,13,26897,Unreliable
"Champaign County, OH",39021,18,38960,Unreliable
"Defiance County, OH",39039,18,37778,Unreliable
"Fayette County, OH",39047,19,28579,Unreliable
"Gallia County, OH",39053,16,29802,Unreliable
"Guernsey County, OH",39059,16,38779,Unreliable
"Hardin County, OH",39065,18,31469,Unreliable
"Harrison County, OH",39067,10,15014,Unreliable
"Holmes County, OH",39075,18,44004,Unreliable
"Logan County, OH",39091,17,45326,Unreliable
"Madison County, OH",39097,19,44559,Unreliable
"Meigs County, OH",39105,15,22678,Unreliable
"Mercer County, OH",39107,16,41274,Unreliable
"Morrow County, OH",39117,15,35411,Unreliable
"Paulding County, OH",39125,16,18648,Unreliable
"Perry County, OH",39127,11,36215,Unreliable
"Pike County, OH",39131,17,27695,Unreliable
"Preble County, OH",39135,17,40836,Unreliable
"Putnam County, OH",39137,12,33654,Unreliable
"Union County, OH",39159,13,60021,Unreliable
"Van Wert County, OH",39161,18,28159,Unreliable
"Beckham County, OK",40009,19,21468,Unreliable
"Caddo County, OK",40015,10,28684,Unreliable
"Choctaw County, OK",40023,17,14646,Unreliable
"Custer County, OK",40039,14,28648,Unreliable
"Delaware County, OK",40041,18,43136,Unreliable
"Hughes County, OK",40063,11,13126,Unreliable
"Kay County, OK",40071,15,43274,Unreliable
"Kiowa County, OK",40075,10,8741,Unreliable
"Logan County, OK",40083,14,48777,Unreliable
"McCurtain County, OK",40089,19,32772,Unreliable
"Marshall County, OK",40095,11,17114,Unreliable
"Mayes County, OK",40097,16,41152,Unreliable
"Murray County, OK",40099,15,13955,Unreliable
"Muskogee County, OK",40101,19,67610,Unreliable
"Osage County, OK",40113,13,46642,Unreliable
"Pawnee County, OK",40117,10,16381,Unreliable
"Seminole County, OK",40133,15,24248,Unreliable
"Stephens County, OK",40137,19,43100,Unreliable
"Baker County, OR",41001,12,16284,Unreliable
"Columbia County, OR",41009,15,52876,Unreliable
"Crook County, OR",41013,10,25105,Unreliable
"Hood River County, OR",41027,15,23280,Unreliable
"Lincoln County, OR",41041,19,50583,Unreliable
"Bedford County, PA",42009,17,47817,Unreliable
"Huntingdon County, PA",42061,15,44590,Unreliable
"Jefferson County, PA",42065,12,43108,Unreliable
"Pike County, PA",42103,13,56072,Unreliable
"Snyder County, PA",42109,13,40317,Unreliable
"Susquehanna County, PA",42115,14,40006,Unreliable
"Tioga County, PA",42117,12,40381,Unreliable
"Union County, PA",42119,16,44294,Unreliable
"Bamberg County, SC",45009,10,13906,Unreliable
"Cherokee County, SC",45021,15,57316,Unreliable
"Chester County, SC",45023,14,32232,Unreliable
"Dillon County, SC",45033,19,30367,Unreliable
"Edgefield County, SC",45037,16,27120,Unreliable
"Hampton County, SC",45049,15,18053,Unreliable
"Jasper County, SC",45053,16,31588,Unreliable
"Marion County, SC",45067,19,30158,Unreliable
"Marlboro County, SC",45069,12,25581,Unreliable
"Union County, SC",45087,14,26991,Unreliable
"Williamsburg County, SC",45089,16,29825,Unreliable
"Brookings County, SD",46011,14,35603,Unreliable
"Fall River County, SD",46047,11,6708,Unreliable
"Hughes County, SD",46065,12,17336,Unreliable
"Hutchinson County, SD",46067,12,7282,Unreliable
"Lawrence County, SD",46081,12,26221,Unreliable
"Bedford County, TN",47003,16,50179,Unreliable
"Benton County, TN",47005,17,16131,Unreliable
"Bledsoe County, TN",47007,10,15223,Unreliable
"Carter County, TN",47019,17,56418,Unreliable
"Claiborne County, TN",47025,14,32023,Unreliable
"Crockett County, TN",47033,16,14180,Unreliable
"DeKalb County, TN",47041,10,20837,Unreliable
"Dyer County, TN",47045,15,36693,Unreliable
"Greene County, TN",47059,18,69571,Unreliable
"Hardeman County, TN",47069,13,24836,Unreliable
"Hickman County, TN",47081,11,25387,Unreliable
"Lauderdale County, TN",47097,14,25451,Unreliable
"Marion County, TN",47115,16,28924,Unreliable
"Marshall County, TN",47117,14,35016,Unreliable
"Monroe County, TN",47123,19,47177,Unreliable
"Polk County, TN",47139,15,16835,Unreliable
"Scott County, TN",47151,10,22090,Unreliable
"Union County, TN",47173,11,20187,Unreliable
"Wayne County, TN",47181,10,16524,Unreliable
"Weakley County, TN",47183,16,33334,Unreliable
"Aransas County, TX",48007,16,23814,Unreliable
"Bandera County, TX",48019,11,23861,Unreliable
"Bee County, TX",48025,15,32513,Unreliable
"Brooks County, TX",48047,11,6964,Unreliable
"Brown County, TX",48049,19,37633,Unreliable
"Burleson County, TX",48051,11,18514,Unreliable
"Calhoun County, TX",48057,17,21001,Unreliable
"Cherokee County, TX",48073,13,52875,Unreliable
"Coke County, TX",48081,11,3323,Unreliable
"Comanche County, TX",48093,15,13750,Unreliable
"Dawson County, TX",48115,14,12974,Unreliable
"Deaf Smith County, TX",48117,11,18277,Unreliable
"DeWitt County, TX",48123,13,20174,Unreliable
"Eastland County, TX",48133,16,18388,Unreliable
"Fayette County, TX",48149,10,25547,Unreliable
"Freestone County, TX",48161,11,19874,Unreliable
"Gonzales County, TX",48177,14,20948,Unreliable
"Gray County, TX",48179,14,21658,Unreliable
"Grimes County, TX",48185,14,29614,Unreliable
"Hockley County, TX",48219,17,22921,Unreliable
"Hopkins County, TX",48223,14,37170,Unreliable
"Karnes County, TX",48255,10,15562,Unreliable
"Lamb County, TX",48279,16,12710,Unreliable
"Lavaca County, TX",48285,18,20216,Unreliable
"Lee County, TX",48287,11,17397,Unreliable
"Leon County, TX",48289,11,17493,Unreliable
"Madison County, TX",48313,13,14427,Unreliable
"Milam County, TX",48331,14,24708,Unreliable
"Montague County, TX",48337,13,19962,Unreliable
"Newton County, TX",48351,11,13414,Unreliable
"Nolan County, TX",48353,13,14835,Unreliable
"Palo Pinto County, TX",48363,13,29320,Unreliable
"Panola County, TX",48365,19,23187,Unreliable
"Pecos County, TX",48371,15,15718,Unreliable
"Red River County, TX",48387,15,11995,Unreliable
"Reeves County, TX",48389,12,15949,Unreliable
"Runnels County, TX",48399,12,10401,Unreliable
"Sabine County, TX",48403,16,10507,Unreliable
"San Jacinto County, TX",48407,13,29301,Unreliable
"Scurry County, TX",48415,15,16662,Unreliable
"Terry County, TX",48445,11,12183,Unreliable
"Titus County, TX",48449,14,32926,Unreliable
"Trinity County, TX",48455,18,14883,Unreliable
"Tyler County, TX",48457,16,21591,Unreliable
"Upshur County, TX",48459,19,42166,Unreliable
"Walker County, TX",48471,14,72164,Unreliable
"Waller County, TX",48473,13,57452,Unreliable
"Washington County, TX",48477,14,35771,Unreliable
"Wharton County, TX",48481,12,41685,Unreliable
"Willacy County, TX",48489,19,21161,Unreliable
"Wood County, TX",48499,17,46291,Unreliable
"Carbon County, UT",49007,14,20760,Unreliable
"Sanpete County, UT",49039,10,31393,Unreliable
"Sevier County, UT",49041,11,21780,Unreliable
"Uintah County, UT",49047,15,35970,Unreliable
"Addison County, VT",50001,17,36851,Unreliable
"Caledonia County, VT",50005,18,29705,Unreliable
"Franklin County, VT",50011,19,49685,Unreliable
"Lamoille County, VT",50015,11,25341,Unreliable
"Windham County, VT",50025,11,42015,Unreliable
"Alleghany County, VA",51005,17,14701,Unreliable
"Amherst County, VA",51009,14,31667,Unreliable
"Appomattox County, VA",51011,11,16043,Unreliable
"Botetourt County, VA",51023,12,33633,Unreliable
"Clarke County, VA",51043,18,14622,Unreliable
"Culpeper County, VA",51047,16,53569,Unreliable
"Dinwiddie County, VA",51053,10,28688,Unreliable
"Goochland County, VA",51075,12,24431,Unreliable
"Isle of Wight County, VA",51093,10,37725,Unreliable
"King William County, VA",51101,10,17641,Unreliable
"Lancaster County, VA",51103,10,10618,Unreliable
"Louisa County, VA",51109,17,38132,Unreliable
"Mathews County, VA",51115,10,8766,Unreliable
"Middlesex County, VA",51119,10,10569,Unreliable
"Montgomery County, VA",51121,13,98391,Unreliable
"Northumberland County, VA",51133,11,12069,Unreliable
"Page County, VA",51139,13,23933,Unreliable
"Patrick County, VA",51141,12,17493,Unreliable
"Pittsylvania County, VA",51143,19,59850,Unreliable
"Prince Edward County, VA",51147,13,23006,Unreliable
"Richmond County, VA",51159,11,9071,Unreliable
"Russell County, VA",51167,13,26647,Unreliable
"Scott County, VA",51169,12,21629,Unreliable
"Smyth County, VA",51173,15,30090,Unreliable
"Southampton County, VA",51175,10,17636,Unreliable
"Tazewell County, VA",51185,18,40529,Unreliable
"Westmoreland County, VA",51193,13,18149,Unreliable
"Bristol city, VA",51520,15,17329,Unreliable
"Charlottesville city, VA",51540,15,46950,Unreliable
"Danville city, VA",51590,12,39869,Unreliable
"Fredericksburg city, VA",51630,18,29492,Unreliable
"Harrisonburg city, VA",51660,14,53204,Unreliable
"Manassas city, VA",51683,14,40869,Unreliable
"Martinsville city, VA",51690,10,12355,Unreliable
"Petersburg city, VA",51730,10,30446,Unreliable
"Salem city, VA",51775,11,25340,Unreliable
"Staunton city, VA",51790,19,25190,Unreliable
"Asotin County, WA",53003,13,22820,Unreliable
"Okanogan County, WA",53047,18,42620,Unreliable
"Barbour County, WV",54001,11,16444,Unreliable
"Braxton County, WV",54007,12,13702,Unreliable
"Brooke County, WV",54009,15,21674,Unreliable
"Greenbrier County, WV",54025,17,34319,Unreliable
"Hancock County, WV",54029,19,28571,Unreliable
"Jefferson County, WV",54037,15,57486,Unreliable
"Lewis County, WV",54041,12,15805,Unreliable
"Lincoln County, WV",54043,17,20043,Unreliable
"Logan County, WV",54045,19,31688,Unreliable
"Marion County, WV",54049,15,55962,Unreliable
"Marshall County, WV",54051,15,30103,Unreliable
"Mason County, WV",54053,10,26335,Unreliable
"Mingo County, WV",54059,14,22951,Unreliable
"Morgan County, WV",54065,12,17873,Unreliable
"Nicholas County, WV",54067,10,24340,Unreliable
"Ohio County, WV",54069,18,41182,Unreliable
"Preston County, WV",54077,12,33380,Unreliable
"Randolph County, WV",54083,16,28387,Unreliable
"Roane County, WV",54087,13,13482,Unreliable
"Taylor County, WV",54091,11,16699,Unreliable
"Adams County, WI",55001,11,20498,Unreliable
"Calumet County, WI",55015,18,50209,Unreliable
"Clark County, WI",55019,11,34720,Unreliable
"Crawford County, WI",55023,12,16021,Unreliable
"Door County, WI",55029,12,27889,Unreliable
"Dunn County, WI",55033,12,45452,Unreliable
"Jackson County, WI",55053,19,20630,Unreliable
"Juneau County, WI",55057,12,26908,Unreliable
"Kewaunee County, WI",55061,10,20386,Unreliable
"Langlade County, WI",55067,16,19119,Unreliable
